SampleID	PrimerPairID	BarcodeID	ProjectID
Slashpile9	16sV4V5	Hotel345	16sV4V5/Slashpile-16sV4V5
Slashpile10	16sV4V5	Hotel346	16sV4V5/Slashpile-16sV4V5
Slashpile11	16sV4V5	Hotel347	16sV4V5/Slashpile-16sV4V5
Slashpile40	16sV4V5	Hotel348	16sV4V5/Slashpile-16sV4V5
Slashpile13	16sV4V5	Hotel349	16sV4V5/Slashpile-16sV4V5
Slashpile14	16sV4V5	Hotel350	16sV4V5/Slashpile-16sV4V5
Slashpile15	16sV4V5	Hotel351	16sV4V5/Slashpile-16sV4V5
Slashpile16	16sV4V5	Hotel352	16sV4V5/Slashpile-16sV4V5
Slashpile17	16sV4V5	Hotel353	16sV4V5/Slashpile-16sV4V5
Slashpile18	16sV4V5	Hotel354	16sV4V5/Slashpile-16sV4V5
Slashpile19	16sV4V5	Hotel355	16sV4V5/Slashpile-16sV4V5
Slashpile20	16sV4V5	Hotel356	16sV4V5/Slashpile-16sV4V5
Slashpile21	16sV4V5	Hotel357	16sV4V5/Slashpile-16sV4V5
Slashpile22	16sV4V5	Hotel358	16sV4V5/Slashpile-16sV4V5
Slashpile23	16sV4V5	Hotel359	16sV4V5/Slashpile-16sV4V5
Slashpile24	16sV4V5	Hotel360	16sV4V5/Slashpile-16sV4V5
Slashpile25	16sV4V5	Hotel365	16sV4V5/Slashpile-16sV4V5
Slashpile26	16sV4V5	Hotel366	16sV4V5/Slashpile-16sV4V5
Slashpile27	16sV4V5	Hotel367	16sV4V5/Slashpile-16sV4V5
Slashpile28	16sV4V5	Hotel368	16sV4V5/Slashpile-16sV4V5
Slashpile1	ITS1	Hotel337	ITS1/Slashpile-ITS1
Slashpile2	ITS1	Hotel338	ITS1/Slashpile-ITS1
Slashpile3	ITS1	Hotel339	ITS1/Slashpile-ITS1
Slashpile4	ITS1	Hotel340	ITS1/Slashpile-ITS1
Slashpile5	ITS1	Hotel341	ITS1/Slashpile-ITS1
Slashpile6	ITS1	Hotel342	ITS1/Slashpile-ITS1
Slashpile7	ITS1	Hotel343	ITS1/Slashpile-ITS1
Slashpile8	ITS1	Hotel344	ITS1/Slashpile-ITS1
Slashpile9	ITS1	Hotel345	ITS1/Slashpile-ITS1
Slashpile10	ITS1	Hotel346	ITS1/Slashpile-ITS1
Slashpile11	ITS1	Hotel347	ITS1/Slashpile-ITS1
Slashpile40	ITS1	Hotel348	ITS1/Slashpile-ITS1
Slashpile13	ITS1	Hotel349	ITS1/Slashpile-ITS1
Slashpile14	ITS1	Hotel350	ITS1/Slashpile-ITS1
Slashpile15	ITS1	Hotel351	ITS1/Slashpile-ITS1
Slashpile16	ITS1	Hotel352	ITS1/Slashpile-ITS1
Slashpile17	ITS1	Hotel353	ITS1/Slashpile-ITS1
Slashpile18	ITS1	Hotel354	ITS1/Slashpile-ITS1
Slashpile19	ITS1	Hotel355	ITS1/Slashpile-ITS1
Slashpile20	ITS1	Hotel356	ITS1/Slashpile-ITS1
Slashpile21	ITS1	Hotel357	ITS1/Slashpile-ITS1
Slashpile22	ITS1	Hotel358	ITS1/Slashpile-ITS1
Slashpile23	ITS1	Hotel359	ITS1/Slashpile-ITS1
Slashpile24	ITS1	Hotel360	ITS1/Slashpile-ITS1
Slashpile25	ITS1	Hotel365	ITS1/Slashpile-ITS1
Slashpile26	ITS1	HoteL366	ITS1/Slashpile-ITS1
Slashpile27	ITS1	Hotel367	ITS1/Slashpile-ITS1
Slashpile28	ITS1	Hotel368	ITS1/Slashpile-ITS1
Slashpile1	ITS2	Hotel337	ITS2/Slashpile-ITS2
Slashpile2	ITS2	Hotel338	ITS2/Slashpile-ITS2
Slashpile3	ITS2	Hotel339	ITS2/Slashpile-ITS2
Slashpile4	ITS2	Hotel340	ITS2/Slashpile-ITS2
Slashpile5	ITS2	Hotel341	ITS2/Slashpile-ITS2
Slashpile6	ITS2	Hotel342	ITS2/Slashpile-ITS2
Slashpile7	ITS2	Hotel343	ITS2/Slashpile-ITS2
Slashpile8	ITS2	Hotel344	ITS2/Slashpile-ITS2
Slashpile9	ITS2	Hotel345	ITS2/Slashpile-ITS2
Slashpile10	ITS2	Hotel346	ITS2/Slashpile-ITS2
Slashpile11	ITS2	Hotel347	ITS2/Slashpile-ITS2
Slashpile40	ITS2	Hotel348	ITS2/Slashpile-ITS2
Slashpile13	ITS2	Hotel349	ITS2/Slashpile-ITS2
Slashpile14	ITS2	Hotel350	ITS2/Slashpile-ITS2
Slashpile15	ITS2	Hotel351	ITS2/Slashpile-ITS2
Slashpile16	ITS2	Hotel352	ITS2/Slashpile-ITS2
Slashpile17	ITS2	Hotel353	ITS2/Slashpile-ITS2
Slashpile18	ITS2	Hotel354	ITS2/Slashpile-ITS2
Slashpile19	ITS2	Hotel355	ITS2/Slashpile-ITS2
Slashpile20	ITS2	Hotel356	ITS2/Slashpile-ITS2
Slashpile21	ITS2	Hotel357	ITS2/Slashpile-ITS2
Slashpile22	ITS2	Hotel358	ITS2/Slashpile-ITS2
Slashpile23	ITS2	Hotel359	ITS2/Slashpile-ITS2
Slashpile24	ITS2	Hotel360	ITS2/Slashpile-ITS2
Slashpile25	ITS2	Hotel365	ITS2/Slashpile-ITS2
Slashpile26	ITS2	Hotel366	ITS2/Slashpile-ITS2
Slashpile27	ITS2	Hotel367	ITS2/Slashpile-ITS2
Slashpile28	ITS2	Hotel368	ITS2/Slashpile-ITS2
Slashpile1	LSU	Hotel337	LSU/Slashpile-LSU
Slashpile2	LSU	Hotel338	LSU/Slashpile-LSU
Slashpile3	LSU	Hotel339	LSU/Slashpile-LSU
Slashpile4	LSU	Hotel340	LSU/Slashpile-LSU
Slashpile5	LSU	Hotel341	LSU/Slashpile-LSU
Slashpile6	LSU	Hotel342	LSU/Slashpile-LSU
Slashpile7	LSU	Hotel343	LSU/Slashpile-LSU
Slashpile8	LSU	Hotel344	LSU/Slashpile-LSU
Slashpile9	LSU	Hotel345	LSU/Slashpile-LSU
Slashpile10	LSU	Hotel346	LSU/Slashpile-LSU
Slashpile11	LSU	Hotel347	LSU/Slashpile-LSU
Slashpile40	LSU	Hotel348	LSU/Slashpile-LSU
Slashpile13	LSU	Hotel349	LSU/Slashpile-LSU
Slashpile14	LSU	Hotel350	LSU/Slashpile-LSU
Slashpile15	LSU	Hotel351	LSU/Slashpile-LSU
Slashpile16	LSU	Hotel352	LSU/Slashpile-LSU
Slashpile17	LSU	Hotel353	LSU/Slashpile-LSU
Slashpile18	LSU	Hotel354	LSU/Slashpile-LSU
Slashpile19	LSU	Hotel355	LSU/Slashpile-LSU
Slashpile20	LSU	Hotel356	LSU/Slashpile-LSU
Slashpile21	LSU	Hotel357	LSU/Slashpile-LSU
Slashpile22	LSU	Hotel358	LSU/Slashpile-LSU
Slashpile23	LSU	Hotel359	LSU/Slashpile-LSU
Slashpile24	LSU	Hotel360	LSU/Slashpile-LSU
Slashpile25	LSU	Hotel365	LSU/Slashpile-LSU
Slashpile26	LSU	Hotel366	LSU/Slashpile-LSU
Slashpile27	LSU	Hotel367	LSU/Slashpile-LSU
Slashpile28	LSU	Hotel368	LSU/Slashpile-LSU
